Country Rank,Country/Territory,CPI 2014
1,Denmark,92
2,New Zealand,91
3,Finland,89
4,Sweden,87
5,Norway,86
5,Switzerland,86
7,Singapore,84
8,Netherlands,83
9,Luxembourg,82
10,Canada,81
11,Australia,80
12,Germany,79
12,Iceland,79
14,United Kingdom,78
15,Belgium,76
15,Japan,76
17,Barbados,74
17,"Hong Kong SAR, China",74
17,Ireland,74
17,United States,74
21,Chile,73
21,Uruguay,73
23,Austria,72
24,Bahamas,71
24,Saint Lucia,71
26,United Arab Emirates,70
27,Estonia,69
27,France,69
27,Qatar,69
30,Bhutan,65
31,Botswana,63
31,Cyprus,63
31,Portugal,63
31,Puerto Rico,63
35,Saint Vincent and the Grenadines,62
36,Poland,61
36,Taiwan,61
38,Israel,60
38,Spain,60
40,Dominica,58
40,Lithuania,58
40,Slovenia,58
43,Cape Verde,57
44,South Korea,55
44,Latvia,55
44,Malta,55
44,Seychelles,55
48,Costa Rica,54
48,Hungary,54
48,Mauritius,54
51,Georgia,52
51,Malaysia,52
53,Czech Republic,51
54,Slovakia,50
55,Bahrain,49
55,Jordan,49
55,Lesotho,49
55,Namibia,49
55,Rwanda,49
55,Saudi Arabia,49
61,Croatia,48
61,Ghana,48
63,Cuba,46
64,Oman,45
64,The FYR of Macedonia,45
64,Turkey,45
67,Kuwait,44
67,South Africa,44
69,Brazil,43
69,Bulgaria,43
69,Greece,43
69,Italy,43
69,Romania,43
69,Senegal,43
69,Swaziland,43
76,Montenegro,42
76,Sao Tome and Principe,42
78,Serbia,41
79,Tunisia,40
80,Benin,39
80,Bosnia and Herzegovina,39
80,El Salvador,39
80,Mongolia,39
80,Morocco,39
85,Burkina Faso,38
85,India,38
85,Jamaica,38
85,Peru,38
85,Philippines,38
85,Sri Lanka,38
85,Thailand,38
85,Trinidad and Tobago,38
85,Zambia,38
94,Armenia,37
94,Colombia,37
94,Egypt,37
94,Gabon,37
94,Liberia,37
94,Panama,37
100,Algeria,36
100,China,36
100,Suriname,36
103,Bolivia,35
103,Mexico,35
103,Moldova,35
103,Niger,35
107,Argentina,34
107,Djibouti,34
107,Indonesia,34
110,Albania,33
110,Ecuador,33
110,Ethiopia,33
110,Kosovo,33
110,Malawi,33
115,Côte d´Ivoire,32
115,Dominican Republic,32
115,Guatemala,32
115,Mali,32
119,Belarus,31
119,Mozambique,31
119,Sierra Leone,31
119,Tanzania,31
119,Vietnam,31
124,Guyana,30
124,Mauritania,30
126,Azerbaijan,29
126,Gambia,29
126,Honduras,29
126,Kazakhstan,29
126,Nepal,29
126,Pakistan,29
126,Togo,29
133,Madagascar,28
133,Nicaragua,28
133,Timor-Leste,28
136,Cameroon,27
136,Iran,27
136,Kyrgyz Republic,27
136,Lebanon,27
136,Nigeria,27
136,Russian Federation,27
142,Comoros,26
142,Uganda,26
142,Ukraine,26
145,Bangladesh,25
145,Guinea,25
145,Kenya,25
145,Laos,25
145,Papua New Guinea,25
150,Central African Republic,24
150,Paraguay,24
152,Congo Republic,23
152,Tajikistan,23
154,Chad,22
154,Democratic Republic of the Congo,22
156,Cambodia,21
156,Myanmar,21
156,Zimbabwe,21
159,Burundi,20
159,Syria,20
161,Angola,19
161,Guinea-Bissau,19
161,Haiti,19
161,Venezuela,19
161,"Yemen, Rep.",19
166,Eritrea,18
166,Libya,18
166,Uzbekistan,18
169,Turkmenistan,17
170,Iraq,16
171,South Sudan,15
172,Afghanistan,12
173,Sudan,11
174,Korea (North),8
174,Somalia,8
