Country or area,Currency,Year,Gross Domestic Product
Afghanistan,US$,2014,21271145488
Africa,US$,2014,2.21E+12
Albania,US$,2014,12750472386
Algeria,US$,2014,1.83E+11
Americas,US$,2014,2.39E+13
Andorra,US$,2014,3230921589
Angola,US$,2014,1.03E+11
Anguilla,US$,2014,272577713.2
Antigua and Barbuda,US$,2014,1221582016
Argentina,US$,2014,4.47E+11
Armenia,US$,2014,11852476474
Aruba,US$,2014,2565436428
Asia,US$,2014,2.52E+13
Australia,US$,2014,1.45E+12
Australia and New Zealand,US$,2014,1.61E+12
Austria,US$,2014,4.09E+11
Azerbaijan,US$,2014,57758075383
Bahamas,US$,2014,10282372574
Bahrain,US$,2014,29921816519
Bangladesh,US$,2014,1.46E+11
Barbados,US$,2014,4412963696
Belarus,US$,2014,63129497161
Belgium,US$,2014,5.01E+11
Belize,US$,2014,1553079307
Benin,US$,2014,8551721201
Bermuda,US$,2014,5249522105
Bhutan,US$,2014,1941310400
Bolivia (Plurinational State of),US$,2014,24475416676
Bosnia and Herzegovina,US$,2014,17803911066
Botswana,US$,2014,16425333184
Brazil,US$,2014,2.42E+12
British Virgin Islands,US$,2014,886575681.9
Brunei Darussalam,US$,2014,13693066137
Bulgaria,US$,2014,52731785184
Burkina Faso,US$,2014,11249920253
Burundi,US$,2014,2413900373
Cabo Verde,US$,2014,1773904453
Cambodia,US$,2014,14858164985
Cameroon,US$,2014,31763377979
Canada,US$,2014,1.78E+12
Caribbean,US$,2014,3.07E+11
Cayman Islands,US$,2014,3476619719
Central African Republic,US$,2014,1365807825
Central America,US$,2014,1.37E+12
Central Asia,US$,2014,2.88E+11
Chad,US$,2014,11392753556
Chile,US$,2014,2.59E+11
"Hong Kong SAR, China",US$,2014,2.58E+11
"China, Macao Special Administrative Region",US$,2014,41066860954
China,US$,2014,8.29E+12
Colombia,US$,2014,3.48E+11
Comoros,US$,2014,1309397416
Congo,US$,2014,14546938620
Cook Islands,US$,2014,282296693.7
Costa Rica,US$,2014,43186481682
Côte d'Ivoire,US$,2014,31200640274
Croatia,US$,2014,57862314951
Cuba,US$,2014,70729490571
Curaçao,US$,2014,2908248486
Cyprus,US$,2014,23055316050
Czech Republic,US$,2014,2.14E+11
"Korea, Dem. People’s Rep.",US$,2014,14543019316
Democratic Republic of the Congo,US$,2014,29310798618
Denmark,US$,2014,3.35E+11
Djibouti,US$,2014,1300536999
Dominica,US$,2014,507965284.6
Dominican Republic,US$,2014,63468374311
Eastern Africa,US$,2014,2.68E+11
Eastern Asia,US$,2014,1.63E+13
Eastern Europe,US$,2014,3.11E+12
Ecuador,US$,2014,86503004996
Egypt,US$,2014,2.33E+11
El Salvador,US$,2014,23040635470
Equatorial Guinea,US$,2014,18102685195
Eritrea,US$,2014,2663919897
Estonia,US$,2014,22956946319
Ethiopia,US$,2014,39441773500
Europe,US$,2014,2.06E+13
Fiji,US$,2014,3617428923
Finland,US$,2014,2.47E+11
France,US$,2014,2.75E+12
French Polynesia,US$,2014,5943347354
Gabon,US$,2014,16108476998
Gambia,US$,2014,1019600869
Georgia,US$,2014,14355047900
Germany,US$,2014,3.65E+12
Ghana,US$,2014,44750833442
Greece,US$,2014,2.46E+11
Greenland,US$,2014,2287273907
Grenada,US$,2014,843685743
Guatemala,US$,2014,47896021052
Guinea,US$,2014,8263257621
Guinea-Bissau,US$,2014,933283632.3
Guyana,US$,2014,2730067767
Haiti,US$,2014,7804170035
Honduras,US$,2014,18142359319
Hungary,US$,2014,1.39E+11
Iceland,US$,2014,14622699393
India,US$,2014,2.12E+12
Indonesia,US$,2014,9.42E+11
"Iran, Islamic Republic of",US$,2014,4.87E+11
Iraq,US$,2014,1.84E+11
Ireland,US$,2014,2.52E+11
Israel,US$,2014,2.71E+11
Italy,US$,2014,2.04E+12
Jamaica,US$,2014,13522791584
Japan,US$,2014,5.91E+12
Jordan,US$,2014,29500840348
Kazakhstan,US$,2014,1.87E+11
Kenya,US$,2014,49505490671
Kiribati,US$,2014,170855113.6
Kosovo,US$,2014,6550667381
Kuwait,US$,2014,1.37E+11
Kyrgyz Republic,US$,2014,5835855493
Lao People's Democratic Republic,US$,2014,9910920121
Latin America and the Caribbean,US$,2014,5.95E+12
Latvia,US$,2014,27496128894
Lebanon,US$,2014,41729684909
Lesotho,US$,2014,2824626247
Liberia,US$,2014,1712112756
Libya,US$,2014,25620111314
Liechtenstein,US$,2014,5889291131
Lithuania,US$,2014,43807995397
Luxembourg,US$,2014,59611199150
Madagascar,US$,2014,11304330529
Malawi,US$,2014,8214141728
Malaysia,US$,2014,3.14E+11
Maldives,US$,2014,3316887570
Mali,US$,2014,14761105543
Malta,US$,2014,10290380698
Marshall Islands,US$,2014,176121238.1
Mauritania,US$,2014,5382117123
Mauritius,US$,2014,11554745827
Melanesia,US$,2014,32651457599
Mexico,US$,2014,1.18E+12
Micronesia,US$,2014,993410095.4
Micronesia (Federated States of),US$,2014,282538197.9
Middle Africa,US$,2014,2.26E+11
Monaco,US$,2014,6809263457
Mongolia,US$,2014,11408652484
Montenegro,US$,2014,4379357196
Montserrat,US$,2014,65028392.77
Morocco,US$,2014,1.11E+11
Mozambique,US$,2014,13422600782
Myanmar,US$,2014,54998750508
Namibia,US$,2014,13991741773
Nauru,US$,2014,157239509.2
Nepal,US$,2014,19471663891
Netherlands,US$,2014,8.52E+11
New Caledonia,US$,2014,10453188470
New Zealand,US$,2014,1.62E+11
Nicaragua,US$,2014,10903320087
Niger,US$,2014,7405106505
Nigeria,US$,2014,4.52E+11
Northern Africa,US$,2014,6.56E+11
Northern America,US$,2014,1.80E+13
Northern Europe,US$,2014,4.56E+12
Norway,US$,2014,4.59E+11
Oceania,US$,2014,1.65E+12
Oman,US$,2014,67858918770
Pakistan,US$,2014,2.03E+11
Palau,US$,2014,206656036.7
Panama,US$,2014,39934718141
Papua New Guinea,US$,2014,17002122108
Paraguay,US$,2014,24671152353
Peru,US$,2014,1.80E+11
Philippines,US$,2014,2.51E+11
Poland,US$,2014,5.36E+11
Polynesia,US$,2014,7348039539
Portugal,US$,2014,2.24E+11
Puerto Rico,US$,2014,96592767902
Qatar,US$,2014,1.59E+11
South Korea,US$,2014,1.23E+12
Republic of Moldova,US$,2014,7064545139
Romania,US$,2014,1.82E+11
Russian Federation,US$,2014,1.68E+12
Rwanda,US$,2014,7632576568
Saint Kitts and Nevis,US$,2014,807916198.2
Saint Lucia,US$,2014,1238853593
Saint Vincent and the Grenadines,US$,2014,707210913.6
Samoa,US$,2014,704198988.7
San Marino,US$,2014,1720637898
Sao Tome and Principe,US$,2014,237360725
Saudi Arabia,US$,2014,6.52E+11
Senegal,US$,2014,14787083132
Serbia,US$,2014,39881674263
Seychelles,US$,2014,1174427789
Sierra Leone,US$,2014,3984798940
Singapore,US$,2014,2.84E+11
Sint Maarten (Dutch part),US$,2014,937695307.1
Slovakia,US$,2014,97554865847
Slovenia,US$,2014,47888250498
Solomon Islands,US$,2014,825706033.8
Somalia,US$,2014,1187015660
South Africa,US$,2014,4.13E+11
South America,US$,2014,4.27E+12
South Sudan,US$,2014,11951708436
South-Eastern Asia,US$,2014,2.41E+12
Southern Africa,US$,2014,4.52E+11
Southern Asia,US$,2014,3.08E+12
Southern Europe,US$,2014,4.10E+12
Spain,US$,2014,1.37E+12
Sri Lanka,US$,2014,72838339391
Palestine,US$,2014,10865529383
Sub-Saharan Africa,US$,2014,1.56E+12
Sudan,US$,2014,56809852991
Suriname,US$,2014,4900086030
Swaziland,US$,2014,5249441961
Sweden,US$,2014,5.19E+11
Switzerland,US$,2014,6.26E+11
Syrian Arab Republic,US$,2014,33193857694
Tajikistan,US$,2014,7122195222
Thailand,US$,2014,3.82E+11
The former Yugoslav Republic of Macedonia,US$,2014,10221687663
Timor-Leste,US$,2014,3087997088
Togo,US$,2014,4365296995
Tonga,US$,2014,383394776.3
Trinidad and Tobago,US$,2014,22616331898
Tunisia,US$,2014,47019757468
Turkey,US$,2014,1.03E+12
Turkmenistan,US$,2014,34979955661
Turks and Caicos Islands,US$,2014,742340514.6
Tuvalu,US$,2014,34801726.02
Uganda,US$,2014,23697277982
Ukraine,US$,2014,1.34E+11
United Arab Emirates,US$,2014,3.54E+11
United Kingdom of Great Britain and Northern Ireland,US$,2014,2.64E+12
United Republic of Tanzania: Mainland,US$,2014,40489317189
United Republic of Tanzania: Zanzibar,US$,2014,980494747.8
United States,US$,2014,1.62E+13
Uruguay,US$,2014,47383678944
Uzbekistan,US$,2014,53995616631
Vanuatu,US$,2014,753012064
Venezuela (Bolivarian Republic of),US$,2014,4.22E+11
Viet Nam,US$,2014,1.45E+11
Western Africa,US$,2014,6.12E+11
Western Asia,US$,2014,3.12E+12
Western Europe,US$,2014,8.85E+12
World,US$,2014,7.36E+13
"Yemen, Rep.",US$,2014,22318008224
Zambia,US$,2014,25317622400
Zimbabwe,US$,2014,14372132571
