Country ,Egalitarian Commitment Versus Conservatism
Denmark,217
United States,196
Australia,182
Norway,160
United Kingdom,142
Germany,138
Sweden,129
Netherlands,123
France,111
Finland,109
Ireland,104
Portugal,91
Austria,79
Belgium,84
Mexico,68
Brazil,66
Pakistan,56
Ethiopia,46
Italy,39
Thailand,29
"Greece, Philippines",31
Spain,3
Turkey,−3
Nigeria,−8
Poland,−14
India,−31
Argentina,−38
Singapore,−60
Japan,−64
Hong Kong,−73
Hungary,−74
Burkina Faso,−93
Czech Republic,−103
United Arab Emirates,−115
Romania,−126
Bulgaria,−164
South Korea,−171
China,−220
Russia,−232
Indonesia,−241
Yugoslavia,−300
