item,itemType,,
V25,2PL,V25,TRUE
V26,2PL,V26,TRUE
V27,2PL,V27,TRUE
V28,2PL,V28,TRUE
V29,2PL,V29,TRUE
V30,2PL,V30,TRUE
V31,2PL,V31,TRUE
V32,2PL,V32,TRUE
V33,2PL,V33,TRUE
V34,2PL,V34,TRUE
V35,2PL,V35,TRUE
V147,graded,V147,TRUE
V19,2PL,V19,TRUE
V37,2PL,V37,TRUE
V38,2PL,V38,TRUE
V39,graded,V39,TRUE
V40,2PL,V40,TRUE
V41,2PL,V41,TRUE
V43,2PL,V43,TRUE
V44,2PL,V44,TRUE
V82,2PL,V82,TRUE
V83,2PL,V83,TRUE
V148,2PL,V148,TRUE
V149,2PL,V149,TRUE
V4,graded,V4,TRUE
V8,graded,,
V9,graded,V9,TRUE
V78,graded,V78,TRUE
V79,graded,,
V74,graded,V74,TRUE
V166,graded,V166,TRUE
V167,graded,V167,TRUE
V45,graded,V45,TRUE
V49,graded,V49,TRUE
V51,graded,V51,TRUE
V52,graded,V52,TRUE
V53,graded,V53,TRUE
V85,graded,V85,TRUE
V86,graded,V86,TRUE
V87,graded,V87,TRUE
V88,graded,V88,TRUE
V89,graded,V89,TRUE
V108,graded,V108,TRUE
V109,graded,V109,TRUE
V110,graded,V110,TRUE
V111,graded,V111,TRUE
V112,graded,V112,TRUE
V113,graded,V113,TRUE
V114,graded,V114,TRUE
V115,graded,V115,TRUE
V116,graded,V116,TRUE
V117,graded,V117,TRUE
V118,graded,V118,TRUE
V119,graded,V119,TRUE
V120,graded,V120,TRUE
V121,graded,V121,TRUE
V122,graded,V122,TRUE
V123,graded,V123,TRUE
V124,graded,V124,TRUE
V126,graded,V126,TRUE
V129,graded,V129,TRUE
V130,graded,V130,TRUE
V142,graded,V142,TRUE
V227,graded,V227,TRUE
V223,graded,V223,TRUE
V222,graded,V222,TRUE
V145,graded,V145,TRUE
V146,graded,V146,TRUE
V153,graded,V153,TRUE
V154,graded,V154,TRUE
V211,graded,V211,TRUE
V103,graded,V103,TRUE
V104,graded,,
V213,graded,,
V214,graded,,
V181,graded,V181,TRUE
V182,graded,V182,TRUE
V183,graded,V183,TRUE
V184,graded,V184,TRUE
V185,graded,V185,TRUE
V186,graded,V186,TRUE
V132,graded,V132,TRUE
V141,graded,V141,TRUE
V198,graded,V198,TRUE
V200,graded,V200,TRUE
V209,graded,V209,TRUE
V210,graded,V210,TRUE
V199,graded,V199,TRUE
V201,graded,V201,TRUE
V202,graded,V202,TRUE
V203,graded,V203,TRUE
V204,graded,V204,TRUE
V205,graded,V205,TRUE
V206,graded,V206,TRUE
V208,graded,V208,TRUE
